year,state,congressional_district,party,candidatevotes,totalvotes
2014,Alabama,1,REPUBLICAN,103758,152234
2014,Alabama,2,REPUBLICAN,113103,167952
2014,Alabama,3,REPUBLICAN,103558,156620
2014,Alabama,4,REPUBLICAN,132831,134752
2014,Alabama,5,REPUBLICAN,115338,154974
2014,Alabama,6,REPUBLICAN,135945,178449
2014,Alabama,7,DEMOCRAT,133687,135899
2014,Alaska,1,REPUBLICAN,142572,279741
2014,Arizona,1,DEMOCRAT,97391,185114
2014,Arizona,2,REPUBLICAN,109704,219351
2014,Arizona,3,DEMOCRAT,58192,104428
2014,Arizona,4,REPUBLICAN,122560,175179
2014,Arizona,5,REPUBLICAN,124867,179463
2014,Arizona,6,REPUBLICAN,129578,199776
2014,Arizona,7,DEMOCRAT,54235,72454
2014,Arizona,8,REPUBLICAN,128710,169776
2014,Arizona,9,DEMOCRAT,88609,162062
2014,Arkansas,1,REPUBLICAN,124139,196256
2014,Arkansas,2,REPUBLICAN,123073,237330
2014,Arkansas,3,REPUBLICAN,151630,190935
2014,Arkansas,4,REPUBLICAN,110789,206131
2014,California,1,REPUBLICAN,132052,216372
2014,California,2,DEMOCRAT,163124,217524
2014,California,3,DEMOCRAT,79224,150260
2014,California,4,REPUBLICAN,126784,211134
2014,California,5,DEMOCRAT,129613,171148
2014,California,6,DEMOCRAT,97008,133456
2014,California,7,DEMOCRAT,92521,183587
2014,California,8,REPUBLICAN,77480,114536
2014,California,9,DEMOCRAT,63475,121204
2014,California,10,REPUBLICAN,70582,125705
2014,California,11,DEMOCRAT,117502,174662
2014,California,12,DEMOCRAT,160067,192264
2014,California,13,DEMOCRAT,168491,190431
2014,California,14,DEMOCRAT,114389,149146
2014,California,15,DEMOCRAT,99756,142906
2014,California,16,DEMOCRAT,46277,91220
2014,California,17,DEMOCRAT,69561,134408
2014,California,18,DEMOCRAT,133060,196386
2014,California,19,DEMOCRAT,85888,127788
2014,California,20,DEMOCRAT,106034,141044
2014,California,21,REPUBLICAN,45907,79377
2014,California,22,REPUBLICAN,96053,133342
2014,California,23,REPUBLICAN,100317,134043
2014,California,24,DEMOCRAT,103228,198794
2014,California,25,REPUBLICAN,60847,114072
2014,California,26,DEMOCRAT,87176,169829
2014,California,27,DEMOCRAT,75728,127580
2014,California,28,DEMOCRAT,91996,120264
2014,California,29,DEMOCRAT,50096,67141
2014,California,30,DEMOCRAT,86568,131883
2014,California,31,DEMOCRAT,51622,99784
2014,California,32,DEMOCRAT,50353,84406
2014,California,33,DEMOCRAT,108331,183031
2014,California,34,DEMOCRAT,44697,61621
2014,California,35,DEMOCRAT,39502,62255
2014,California,36,DEMOCRAT,72682,134139
2014,California,37,DEMOCRAT,96787,114838
2014,California,38,DEMOCRAT,58192,98480
2014,California,39,REPUBLICAN,91319,133225
2014,California,40,DEMOCRAT,30208,49379
2014,California,41,DEMOCRAT,46948,82884
2014,California,42,REPUBLICAN,74540,113390
2014,California,43,DEMOCRAT,69681,98202
2014,California,44,DEMOCRAT,59670,68862
2014,California,45,REPUBLICAN,106083,162902
2014,California,46,DEMOCRAT,49738,83315
2014,California,47,DEMOCRAT,69091,123400
2014,California,48,REPUBLICAN,112082,174795
2014,California,49,REPUBLICAN,98161,163142
2014,California,50,REPUBLICAN,111997,157299
2014,California,51,DEMOCRAT,56373,81950
2014,California,52,DEMOCRAT,98826,191572
2014,California,53,DEMOCRAT,87104,148044
2014,Colorado,1,DEMOCRAT,183281,278494
2014,Colorado,2,DEMOCRAT,196300,345945
2014,Colorado,3,REPUBLICAN,163011,281141
2014,Colorado,4,REPUBLICAN,185292,286507
2014,Colorado,5,REPUBLICAN,157182,262855
2014,Colorado,6,REPUBLICAN,143467,276440
2014,Colorado,7,DEMOCRAT,148225,269143
2014,Connecticut,1,DEMOCRAT,127430,217881
2014,Connecticut,2,DEMOCRAT,131294,227936
2014,Connecticut,3,DEMOCRAT,130009,209939
2014,Connecticut,4,DEMOCRAT,101401,198800
2014,Connecticut,5,DEMOCRAT,106256,213301
2014,Delaware,1,DEMOCRAT,137251,231617
2014,Florida,1,REPUBLICAN,165086,235343
2014,Florida,2,DEMOCRAT,126096,249780
2014,Florida,3,REPUBLICAN,148691,228809
2014,Florida,4,REPUBLICAN,177887,227253
2014,Florida,5,DEMOCRAT,112340,171577
2014,Florida,6,REPUBLICAN,166254,265817
2014,Florida,7,REPUBLICAN,144474,227164
2014,Florida,8,REPUBLICAN,180728,274513
2014,Florida,9,DEMOCRAT,93850,173878
2014,Florida,10,REPUBLICAN,143128,232574
2014,Florida,11,REPUBLICAN,181508,272294
2014,Florida,12,REPUBLICAN,1,1
2014,Florida,13,REPUBLICAN,168172,223576
2014,Florida,14,DEMOCRAT,1,1
2014,Florida,15,REPUBLICAN,128750,213582
2014,Florida,16,REPUBLICAN,169126,274829
2014,Florida,17,REPUBLICAN,141493,223756
2014,Florida,18,DEMOCRAT,151478,253374
2014,Florida,19,REPUBLICAN,159354,246861
2014,Florida,20,DEMOCRAT,128498,157466
2014,Florida,21,DEMOCRAT,153395,153970
2014,Florida,22,DEMOCRAT,125404,216096
2014,Florida,23,DEMOCRAT,103269,164788
2014,Florida,24,DEMOCRAT,129192,149918
2014,Florida,25,REPUBLICAN,1,1
2014,Florida,26,REPUBLICAN,83031,161337
2014,Florida,27,REPUBLICAN,1,1
2014,Georgia,1,REPUBLICAN,95337,156512
2014,Georgia,2,DEMOCRAT,96363,162900
2014,Georgia,3,REPUBLICAN,156277,156277
2014,Georgia,4,DEMOCRAT,161211,161320
2014,Georgia,5,DEMOCRAT,170326,170326
2014,Georgia,6,REPUBLICAN,139018,210504
2014,Georgia,7,REPUBLICAN,113557,173669
2014,Georgia,8,REPUBLICAN,129938,130057
2014,Georgia,9,REPUBLICAN,146059,181047
2014,Georgia,10,REPUBLICAN,130703,196480
2014,Georgia,11,REPUBLICAN,161532,161532
2014,Georgia,12,REPUBLICAN,91336,166814
2014,Georgia,13,DEMOCRAT,159445,159445
2014,Georgia,14,REPUBLICAN,118782,118782
2014,Hawaii,1,DEMOCRAT,93390,182268
2014,Hawaii,2,DEMOCRAT,142010,187435
2014,Idaho,1,REPUBLICAN,143580,220864
2014,Idaho,2,REPUBLICAN,131492,214293
2014,Illinois,1,DEMOCRAT,162268,222017
2014,Illinois,2,DEMOCRAT,160337,204266
2014,Illinois,3,DEMOCRAT,116764,180855
2014,Illinois,4,DEMOCRAT,79666,101944
2014,Illinois,5,DEMOCRAT,116364,184019
2014,Illinois,6,REPUBLICAN,160287,238752
2014,Illinois,7,DEMOCRAT,155110,182278
2014,Illinois,8,DEMOCRAT,84178,151056
2014,Illinois,9,DEMOCRAT,141000,213450
2014,Illinois,10,REPUBLICAN,95992,187128
2014,Illinois,11,DEMOCRAT,93436,174772
