year,state,congressional_district,party,candidatevotes,totalvotes
2014,ALABAMA,1,REPUBLICAN,103758,152234
2014,ALABAMA,2,REPUBLICAN,113103,167952
2014,ALABAMA,3,REPUBLICAN,103558,156620
2014,ALABAMA,4,REPUBLICAN,132831,134752
2014,ALABAMA,5,REPUBLICAN,115338,154974
2014,ALABAMA,6,REPUBLICAN,135945,178449
2014,ALABAMA,7,DEMOCRAT,133687,135899
2014,ARIZONA,1,DEMOCRAT,97391,185114
2014,ARIZONA,2,REPUBLICAN,109704,219351
2014,ARIZONA,3,DEMOCRAT,58192,104428
2014,ARIZONA,4,REPUBLICAN,122560,175179
2014,ARIZONA,5,REPUBLICAN,124867,179463
2014,ARIZONA,6,REPUBLICAN,129578,199776
2014,ARIZONA,7,DEMOCRAT,54235,72454
2014,ARIZONA,8,REPUBLICAN,128710,169776
2014,ARIZONA,9,DEMOCRAT,88609,162062
2014,ARKANSAS,1,REPUBLICAN,124139,196256
2014,ARKANSAS,2,REPUBLICAN,123073,237330
2014,ARKANSAS,3,REPUBLICAN,151630,190935
2014,ARKANSAS,4,REPUBLICAN,110789,206131
2014,CALIFORNIA,1,REPUBLICAN,132052,216372
2014,CALIFORNIA,2,DEMOCRAT,163124,217524
2014,CALIFORNIA,3,DEMOCRAT,79224,150260
2014,CALIFORNIA,4,REPUBLICAN,126784,211134
2014,CALIFORNIA,5,DEMOCRAT,129613,171148
2014,CALIFORNIA,6,DEMOCRAT,97008,133456
2014,CALIFORNIA,7,DEMOCRAT,92521,183587
2014,CALIFORNIA,8,REPUBLICAN,77480,114536
2014,CALIFORNIA,9,DEMOCRAT,63475,121204
2014,CALIFORNIA,10,REPUBLICAN,70582,125705
2014,CALIFORNIA,11,DEMOCRAT,117502,174662
2014,CALIFORNIA,12,DEMOCRAT,160067,192264
2014,CALIFORNIA,13,DEMOCRAT,168491,190431
2014,CALIFORNIA,14,DEMOCRAT,114389,149146
2014,CALIFORNIA,15,DEMOCRAT,99756,142906
2014,CALIFORNIA,16,DEMOCRAT,46277,91220
2014,CALIFORNIA,17,DEMOCRAT,69561,134408
2014,CALIFORNIA,18,DEMOCRAT,133060,196386
2014,CALIFORNIA,19,DEMOCRAT,85888,127788
2014,CALIFORNIA,20,DEMOCRAT,106034,141044
2014,CALIFORNIA,21,REPUBLICAN,45907,79377
2014,CALIFORNIA,22,REPUBLICAN,96053,133342
2014,CALIFORNIA,23,REPUBLICAN,100317,134043
2014,CALIFORNIA,24,DEMOCRAT,103228,198794
2014,CALIFORNIA,25,REPUBLICAN,60847,114072
2014,CALIFORNIA,26,DEMOCRAT,87176,169829
2014,CALIFORNIA,27,DEMOCRAT,75728,127580
2014,CALIFORNIA,28,DEMOCRAT,91996,120264
2014,CALIFORNIA,29,DEMOCRAT,50096,67141
2014,CALIFORNIA,30,DEMOCRAT,86568,131883
2014,CALIFORNIA,31,DEMOCRAT,51622,99784
2014,CALIFORNIA,32,DEMOCRAT,50353,84406
2014,CALIFORNIA,33,DEMOCRAT,108331,183031
2014,CALIFORNIA,34,DEMOCRAT,44697,61621
2014,CALIFORNIA,35,DEMOCRAT,39502,62255
2014,CALIFORNIA,36,DEMOCRAT,72682,134139
2014,CALIFORNIA,37,DEMOCRAT,96787,114838
2014,CALIFORNIA,38,DEMOCRAT,58192,98480
2014,CALIFORNIA,39,REPUBLICAN,91319,133225
2014,CALIFORNIA,40,DEMOCRAT,30208,49379
2014,CALIFORNIA,41,DEMOCRAT,46948,82884
2014,CALIFORNIA,42,REPUBLICAN,74540,113390
2014,CALIFORNIA,43,DEMOCRAT,69681,98202
2014,CALIFORNIA,44,DEMOCRAT,59670,68862
2014,CALIFORNIA,45,REPUBLICAN,106083,162902
2014,CALIFORNIA,46,DEMOCRAT,49738,83315
2014,CALIFORNIA,47,DEMOCRAT,69091,123400
2014,CALIFORNIA,48,REPUBLICAN,112082,174795
2014,CALIFORNIA,49,REPUBLICAN,98161,163142
2014,CALIFORNIA,50,REPUBLICAN,111997,157299
2014,CALIFORNIA,51,DEMOCRAT,56373,81950
2014,CALIFORNIA,52,DEMOCRAT,98826,191572
2014,CALIFORNIA,53,DEMOCRAT,87104,148044
2014,COLORADO,1,DEMOCRAT,183281,278494
2014,COLORADO,2,DEMOCRAT,196300,345945
2014,COLORADO,3,REPUBLICAN,163011,281141
2014,COLORADO,4,REPUBLICAN,185292,286507
2014,COLORADO,5,REPUBLICAN,157182,262855
2014,COLORADO,6,REPUBLICAN,143467,276440
2014,COLORADO,7,DEMOCRAT,148225,269143
2014,CONNECTICUT,1,DEMOCRAT,127430,217881
2014,CONNECTICUT,2,DEMOCRAT,131294,227936
2014,CONNECTICUT,3,DEMOCRAT,130009,209939
2014,CONNECTICUT,4,DEMOCRAT,101401,198800
2014,CONNECTICUT,5,DEMOCRAT,106256,213301
2014,FLORIDA,1,REPUBLICAN,165086,235343
2014,FLORIDA,2,DEMOCRAT,126096,249780
2014,FLORIDA,3,REPUBLICAN,148691,228809
2014,FLORIDA,4,REPUBLICAN,177887,227253
2014,FLORIDA,5,DEMOCRAT,112340,171577
2014,FLORIDA,6,REPUBLICAN,166254,265817
2014,FLORIDA,7,REPUBLICAN,144474,227164
2014,FLORIDA,8,REPUBLICAN,180728,274513
2014,FLORIDA,9,DEMOCRAT,93850,173878
2014,FLORIDA,10,REPUBLICAN,143128,232574
2014,FLORIDA,11,REPUBLICAN,181508,272294
2014,FLORIDA,12,REPUBLICAN,1,1
2014,FLORIDA,13,REPUBLICAN,168172,223576
2014,FLORIDA,14,DEMOCRAT,1,1
2014,FLORIDA,15,REPUBLICAN,128750,213582
2014,FLORIDA,16,REPUBLICAN,169126,274829
2014,FLORIDA,17,REPUBLICAN,141493,223756
2014,FLORIDA,18,DEMOCRAT,151478,253374
2014,FLORIDA,19,REPUBLICAN,159354,246861
2014,FLORIDA,20,DEMOCRAT,128498,157466
2014,FLORIDA,21,DEMOCRAT,153395,153970
2014,FLORIDA,22,DEMOCRAT,125404,216096
2014,FLORIDA,23,DEMOCRAT,103269,164788
2014,FLORIDA,24,DEMOCRAT,129192,149918
2014,FLORIDA,25,REPUBLICAN,1,1
2014,FLORIDA,26,REPUBLICAN,83031,161337
2014,FLORIDA,27,REPUBLICAN,1,1
2014,GEORGIA,1,REPUBLICAN,95337,156512
2014,GEORGIA,2,DEMOCRAT,96363,162900
2014,GEORGIA,3,REPUBLICAN,156277,156277
2014,GEORGIA,4,DEMOCRAT,161211,161320
2014,GEORGIA,5,DEMOCRAT,170326,170326
2014,GEORGIA,6,REPUBLICAN,139018,210504
2014,GEORGIA,7,REPUBLICAN,113557,173669
2014,GEORGIA,8,REPUBLICAN,129938,130057
2014,GEORGIA,9,REPUBLICAN,146059,181047
2014,GEORGIA,10,REPUBLICAN,130703,196480
